Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-tjl7,counterbalance-lxdj,counterbalance-yqqs,counterbalance-jiws,counterbalance-eqty,counterbalance-xsf1,Randomise questionnaire elements?,Question Key,Response
1,1614184384135,24/02/2021 16:33:04,1614184385173,0,24/02/2021 16:33:05,37087,25,questionnaire-9g37,,10337961,5d92779c6cd7e60015b10635,3144975,,complete,,60367fb2fc0a581aa332d191,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,2560x1080,2560x947,,Generic Consent,1,Conf,13,,,,,No,BEGIN QUESTIONNAIRE,
2,1614184387331,24/02/2021 16:33:07,1614184388377,0,24/02/2021 16:33:08,37087,25,questionnaire-9g37,,10337961,5d92779c6cd7e60015b10635,3144975,,complete,,60367fb2fc0a581aa332d191,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,2560x1080,2560x947,,Generic Consent,1,Conf,13,,,,,No,ConsentFlag,1
3,1614184387378,24/02/2021 16:33:07,1614184388378,0,24/02/2021 16:33:08,37087,25,questionnaire-9g37,,10337961,5d92779c6cd7e60015b10635,3144975,,complete,,60367fb2fc0a581aa332d191,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,2560x1080,2560x947,,Generic Consent,1,Conf,13,,,,,No,END QUESTIONNAIRE,3205
1,1614184399052,24/02/2021 16:33:19,1614184395642,0,24/02/2021 16:33:15,37087,25,questionnaire-9g37,,10337986,5a270517b4a5de00011af15c,3144977,,complete,,60367fc544ed818d42363b54,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Generic Consent,1,GradCAM,,1,,,,No,BEGIN QUESTIONNAIRE,
2,1614184403377,24/02/2021 16:33:23,1614184400019,0,24/02/2021 16:33:20,37087,25,questionnaire-9g37,,10337986,5a270517b4a5de00011af15c,3144977,,complete,,60367fc544ed818d42363b54,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Generic Consent,1,GradCAM,,1,,,,No,ConsentFlag,1
3,1614184403454,24/02/2021 16:33:23,1614184400021,0,24/02/2021 16:33:20,37087,25,questionnaire-9g37,,10337986,5a270517b4a5de00011af15c,3144977,,complete,,60367fc544ed818d42363b54,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Generic Consent,1,GradCAM,,1,,,,No,END QUESTIONNAIRE,4379
1,1614184422312,24/02/2021 16:33:42,1614184422132,-6,24/02/2021 10:33:42,37087,25,questionnaire-9g37,,10338021,5edbfd2c7bdc7e7e3201d6fb,3144985,,complete,,60367fa58314adb533a318c1,computer,Desktop or Laptop,Mac OS 11.2.0,Chrome 88.0.4324.192,1440x900,1440x686,,Generic Consent,1,GradCAM,,10,,,,No,BEGIN QUESTIONNAIRE,
2,1614184430253,24/02/2021 16:33:50,1614184430116,-6,24/02/2021 10:33:50,37087,25,questionnaire-9g37,,10338021,5edbfd2c7bdc7e7e3201d6fb,3144985,,complete,,60367fa58314adb533a318c1,computer,Desktop or Laptop,Mac OS 11.2.0,Chrome 88.0.4324.192,1440x900,1440x686,,Generic Consent,1,GradCAM,,10,,,,No,ConsentFlag,1
3,1614184430415,24/02/2021 16:33:50,1614184430117,-6,24/02/2021 10:33:50,37087,25,questionnaire-9g37,,10338021,5edbfd2c7bdc7e7e3201d6fb,3144985,,complete,,60367fa58314adb533a318c1,computer,Desktop or Laptop,Mac OS 11.2.0,Chrome 88.0.4324.192,1440x900,1440x686,,Generic Consent,1,GradCAM,,10,,,,No,END QUESTIONNAIRE,7985
1,1614184455407,24/02/2021 16:34:15,1614184518680,0,24/02/2021 16:35:18,37087,25,questionnaire-9g37,,10338054,5f107fd6263294073eea5c49,3144995,,complete,,60367ff2e57c279fd742dec6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x657,,Generic Consent,1,EP,,,11,,,No,BEGIN QUESTIONNAIRE,
